Occupation 2010 Description,2010 Census Code,2010 SOC Code
Computer and information systems managers,0110,11-3021
Architectural and engineering managers,0300,11-9041
Natural sciences managers,0360,11-9121
Computer and information research scientists,1005,15-1111
Computer systems analysts,1006,15-1121 
Information security analysts,1007,15-1122
Computer programmers,1010,15-1131 
"Software developers, applications and systems software",1020,15-113X  
Web developers,1030,15-1134
Computer support specialists,1050,15-1150  
Database administrators,1060,15-1141 
Network and computer systems administrators,1105,15-1142  
Computer network architects ,1106,15-1143  
"Computer occupations, all other",1107,15-1199
Actuaries,1200,15-2011 
Mathematicians,1210,15-2021 
Operations research analysts,1220,15-2031 
Statisticians,1230,15-2041 
Miscellaneous mathematical science occupations,1240,15-2090
"Surveyors, cartographers, and photogrammetrists",1310,17-1020 
Aerospace engineers,1320,17-2011 
Agricultural engineers,1330,17-2021
Biomedical engineers,1340,17-2031
Chemical engineers,1350,17-2041 
Civil engineers,1360,17-2051 
Computer hardware engineers,1400,17-2061 
Electrical and electronics engineers,1410,17-2070 
Environmental engineers,1420,17-2081 
"Industrial engineers, including health and safety",1430,17-2110 
Marine engineers and naval architects,1440,17-2121 
Materials engineers,1450,17-2131 
Mechanical engineers,1460,17-2141 
"Mining and geological engineers, including mining safety engineers",1500,17-2151 
Nuclear engineers,1510,17-2161 
Petroleum engineers,1520,17-2171 
"Engineers, all other",1530,17-2199 
Drafters,1540,17-3010 
"Engineering technicians, except drafters",1550,17-3020 
Surveying and mapping technicians,1560,17-3031 
Agricultural and food scientists,1600,19-1010
Biological scientists,1610,19-1020 
Conservation scientists and foresters,1640,19-1030 
Medical scientists,1650,19-1040 
"Life scientists, all other",1660,19-1099
Astronomers and physicists,1700,19-2010 
Atmospheric and space scientists,1710,19-2021 
Chemists and materials scientists,1720,19-2030 
Environmental scientists and geoscientists,1740,19-2040 
"Physical scientists, all other",1760,19-2099 
Economists,1800,19-3011 
Survey researchers,1815,19-3022 
Psychologists,1820,19-3030 
Sociologists,1830,19-3041 
Urban and regional planners,1840,19-3051 
Miscellaneous social scientists and related workers,1860,19-3090
Agricultural and food science technicians,1900,19-4011
Biological technicians,1910,19-4021
Chemical technicians,1920,19-4031
Geological and petroleum technicians,1930,19-4041
Nuclear technicians,1940,19-4051
Social science research assistants,1950,19-4061
"Miscellaneous life, physical, and social science technicians",1965,19-4090
Sales engineers,4930,41-9031
