"RELEASE_NUMBER","INTERVIEW_ID","AGE","OCC_2010","HOURLY.REGULAR.RATE","YRS.PRES.EMP","WAGES","WTR.GRADUATED","YR.WRKED.FULLTIME","WORK.WEEKS","TOTAL.HOURS","COMPLETED.ED","SEX_1","SEX_2","RACE_1","RACE_2","RACE_3","RACE_4","RACE_5","RACE_7","RACE_9","CURRENT.REGION_1","CURRENT.REGION_2","CURRENT.REGION_3","CURRENT.REGION_4","CURRENT.REGION_5","CURRENT.REGION_6","YEAR_2017","YEAR_2019","occupation_des","soc_code"
2,5620,59,0,0,0,0,2,11,0,0,11,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,8559,57,5540,32.78,25,56000,1,30,47,1880,12,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,6510,43,4140,0,0,1000,1,0,9,348,12,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,9172,42,6240,0,5,54000,2,13,51,1748,10,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,7682,27,5700,14,0,20000,1,0,49,1980,12,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,9421,27,6240,0,7,26000,1,9,52,2080,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4293,35,4240,0,0,50000,1,12,37,1647,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,8691,34,7350,24,0,40000,1,11,52,2130,14,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,8276,55,4700,21.75,26,32000,1,5,49,1960,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,3859,50,0,0,0,0,3,16,0,0,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,4162,22,8965,9.75,0,9000,1,0,23,928,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,3894,61,9130,15.07,22,37000,3,38,51,2550,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,4043,62,430,0,26,220000,1,4,48,3120,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,9110,43,9800,0,16,125000,1,21,50,2000,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,7810,36,9800,0,0,115000,1,6,51,2530,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,8286,35,9030,74,0,92000,1,14,52,3612,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,5702,33,3250,0,1,115000,1,0,51,2040,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4056,72,6240,0,9,13500,3,20,48,1200,11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4360,61,0,0,0,0,3,0,0,0,9,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,3831,43,9130,0,5,65000,3,0,52,4160,11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4371,42,7240,10,0,2000,3,10,6,228,11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4984,42,3600,14,3,40000,3,15,52,2860,11,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4348,40,0,0,0,0,3,1,0,0,10,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,5898,36,6050,0,2,5000,1,2,52,1560,12,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,5735,33,4850,0,0,10000,1,0,48,1920,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,5069,29,7750,10,1,13092,1,0,51,2856,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4139,25,7210,15,9,62000,1,0,52,2340,14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,9038,26,9620,10.5,2,30000,3,2,51,2530,10,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,3854,24,5310,0,0,0,1,1,0,0,12,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,6798,20,5240,0,0,1800,1,0,7,210,12,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,5140,18,0,0,0,0,3,0,0,0,11,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4690,28,9130,0,0,370000,1,2,50,4000,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4596,55,0,0,0,0,1,0,0,0,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,5879,24,8000,17,4,42000,1,1,48,1968,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4873,22,8800,13.75,2,25000,1,2,50,3000,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,5233,24,9600,16.25,3,29000,1,1,52,2080,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,1119,73,0,0,0,0,1,30,0,0,15,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,1458,53,2340,10,0,17000,1,9,52,2080,14,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,1478,51,3620,9.5,1,16500,1,8,52,1820,14,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,1151,70,0,0,0,0,1,37,0,0,14,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,1173,41,4250,0,0,6500,2,4,29,1102,11,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,1744,24,0,0,0,0,1,2,0,0,12,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,1566,26,7840,14.35,0,17000,2,5,51,2040,10,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,214,98,0,0,0,0,1,30,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,503,64,0,0,0,0,1,14,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,3808,88,0,0,0,0,3,38,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA
2,3820,66,4700,0,0,8000,1,0,29,703,15,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA
2,3838,68,0,0,0,0,1,19,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA
2,1223,53,0,0,0,0,3,3,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,2521,32,7630,26.2,4,54000,1,6,52,2322,14,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
