"RELEASE_NUMBER","INTERVIEW_ID","AGE","OCC_2010","HOURLY.REGULAR.RATE","YRS.PRES.EMP","WAGES","WTR.GRADUATED","YR.WRKED.FULLTIME","WORK.WEEKS","TOTAL.HOURS","COMPLETED.ED","SEX_1","SEX_2","RACE_1","RACE_2","RACE_3","RACE_4","RACE_5","RACE_7","RACE_9","CURRENT.REGION_1","CURRENT.REGION_2","CURRENT.REGION_3","CURRENT.REGION_4","CURRENT.REGION_5","CURRENT.REGION_6","YEAR_2017","YEAR_2019","occupation_des","soc_code"
2,6322,43,110,0,1,157000,1,5,49,2450,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Computer and information systems managers","11-3021"
2,8029,47,1020,0,7,92000,1,17,52,2080,12,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Software developers, applications and systems software","15-113X  "
2,3782,26,1420,0,2,60000,1,0,49,1980,16,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Environmental engineers","17-2081 "
2,6845,47,1010,0,24,85000,1,4,46,2784,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Computer programmers","15-1131 "
2,9018,50,1006,0,19,66000,1,5,48,2400,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Computer systems analysts","15-1121 "
2,4406,24,1430,0,2,70000,1,1,49,1960,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Industrial engineers, including health and safety","17-2110 "
2,1931,38,1360,0,16,85000,1,3,45,1816,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Civil engineers","17-2051 "
2,8037,36,110,0,4,145000,1,2,50,1992,16,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Computer and information systems managers","11-3021"
2,584,50,1020,0,3,2e+05,1,0,48,2380,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Software developers, applications and systems software","15-113X  "
2,1274,37,110,0,4,150000,1,10,48,1936,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Computer and information systems managers","11-3021"
2,1686,40,300,0,6,175000,1,19,46,2088,14,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Architectural and engineering managers","11-9041"
2,1620,37,1050,0,3,99000,0,11,51,2040,16,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Computer support specialists","15-1150  "
2,216,33,1010,0,4,108000,1,2,49,1960,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Computer programmers","15-1131 "
2,820,28,1820,19.75,2,15000,1,2,41,1776,15,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Psychologists","19-3030 "
2,1072,28,1410,62.5,0,80000,1,2,45,1800,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Electrical and electronics engineers","17-2070 "
2,1423,35,1550,0,3,115000,1,9,48,2880,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Engineering technicians, except drafters","17-3020 "
2,4848,34,1020,0,9,95000,1,12,49,1960,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Software developers, applications and systems software","15-113X  "
2,3947,55,1105,0,0,43000,1,28,37,1492,16,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Network and computer systems administrators","15-1142  "
2,1156,48,1060,0,1,95000,1,1,48,1920,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Database administrators","15-1141 "
2,9439,52,1050,0,25,53000,1,8,47,1880,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Computer support specialists","15-1150  "
2,3007,43,1020,0,20,110000,1,6,48,2420,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Software developers, applications and systems software","15-113X  "
2,4786,51,1050,45,0,95000,1,20,47,1895,17,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Computer support specialists","15-1150  "
2,4243,27,1060,0,2,42000,1,3,51,2056,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,"Database administrators","15-1141 "
2,924,45,1007,0,6,103000,1,24,49,2470,14,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Information security analysts","15-1122"
2,8083,24,1420,0,2,48000,1,2,46,2202,16,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Environmental engineers","17-2081 "
2,4156,58,1410,0,33,3e+05,1,7,52,3120,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Electrical and electronics engineers","17-2070 "
2,8150,34,1450,0,0,3430,0,2,52,518,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Materials engineers","17-2131 "
2,275,40,360,22,2,31000,1,0,48,1920,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Natural sciences managers","11-9121"
2,3229,30,1020,0,1,30000,1,8,52,1820,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Software developers, applications and systems software","15-113X  "
2,1560,61,1430,0,25,151000,1,8,47,1938,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Industrial engineers, including health and safety","17-2110 "
2,1983,23,1030,0,1,34000,1,1,50,1295,16,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Web developers","15-1134"
2,845,33,1020,0,6,184000,1,1,46,2070,16,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Software developers, applications and systems software","15-113X  "
2,4119,40,1105,0,18,83000,1,7,46,2088,14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Network and computer systems administrators","15-1142  "
2,4202,38,1320,0,16,107000,1,4,48,2400,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Aerospace engineers","17-2011 "
2,4374,32,300,0,11,110000,1,0,50,2133,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Architectural and engineering managers","11-9041"
2,8939,36,1060,0,4,70000,1,0,47,2097,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Database administrators","15-1141 "
2,5386,46,1360,0,6,80000,1,1,51,2024,14,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Civil engineers","17-2051 "
2,6070,39,1360,0,12,135000,1,2,49,2196,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Civil engineers","17-2051 "
2,3608,38,1107,0,1,95000,1,9,49,1968,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Computer occupations, all other","15-1199"
2,8398,20,1910,11.85,1,23000,1,2,51,2120,14,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Biological technicians","19-4021"
2,3645,27,110,0,4,83000,1,3,47,2228,17,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Computer and information systems managers","11-3021"
2,5503,30,1030,0,1,120000,1,4,49,1960,15,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Web developers","15-1134"
2,5056,26,1550,25,2,60000,1,0,50,1984,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Engineering technicians, except drafters","17-3020 "
2,9503,57,1650,0,31,730000,1,3,43,2165,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Medical scientists","19-1040 "
2,570,37,1105,37.5,16,70000,1,3,49,2205,14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Network and computer systems administrators","15-1142  "
2,2637,66,1020,0,44,135000,1,12,48,2033,17,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Software developers, applications and systems software","15-113X  "
2,3410,40,1105,0,8,67000,1,7,49,2058,13,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Network and computer systems administrators","15-1142  "
2,643,55,300,0,28,150000,1,1,48,2390,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Architectural and engineering managers","11-9041"
2,5492,28,1740,0,3,49000,1,6,48,2011,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Environmental scientists and geoscientists","19-2040 "
2,5966,45,1460,0,21,106000,1,8,49,2041,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Mechanical engineers","17-2141 "
2,6614,34,1007,0,2,134000,1,12,43,2150,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Information security analysts","15-1122"
2,5412,67,110,0,32,106000,1,16,45,2075,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Computer and information systems managers","11-3021"
2,3974,41,1540,25,14,60000,1,1,50,2000,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Drafters","17-3010 "
2,6494,52,1060,0,30,91000,1,3,44,1681,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Database administrators","15-1141 "
2,9560,39,300,0,3,68500,1,3,50,2480,14,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Architectural and engineering managers","11-9041"
2,509,62,1060,0,0,37000,1,13,28,1132,16,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Database administrators","15-1141 "
2,1353,32,1550,0,0,54000,1,2,50,2000,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Engineering technicians, except drafters","17-3020 "
2,1788,32,1360,0,4,65000,1,4,49,1976,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Civil engineers","17-2051 "
2,4536,42,1105,23.15,2,44000,1,1,45,1804,14,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Network and computer systems administrators","15-1142  "
2,2839,50,1106,998,17,102000,1,16,50,2000,16,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Computer network architects ","15-1143  "
2,6168,34,1360,28,2,55000,1,6,51,1938,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Civil engineers","17-2051 "
2,9335,28,1550,27,2,28000,1,2,51,3060,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Engineering technicians, except drafters","17-3020 "
2,1766,63,1020,0,2,147970,1,10,52,2219,16,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Software developers, applications and systems software","15-113X  "
2,7437,55,1410,0,0,0,1,0,51,3060,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Electrical and electronics engineers","17-2070 "
2,5375,44,1010,0,18,81871,1,4,48,1920,16,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Computer programmers","15-1131 "
2,385,37,1700,0,7,120000,1,5,49,2460,17,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Astronomers and physicists","19-2010 "
2,147,32,1020,0,0,98000,1,2,49,2695,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Software developers, applications and systems software","15-113X  "
2,4328,52,1460,0,14,128000,1,1,49,2530,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Mechanical engineers","17-2141 "
2,2514,46,1105,15,4,31885,1,6,51,2142,15,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Network and computer systems administrators","15-1142  "
2,1097,59,1720,40,35,70000,1,5,50,1743,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,"Chemists and materials scientists","19-2030 "
2,624,28,1560,22,4,70000,1,1,51,3040,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Surveying and mapping technicians","17-3031 "
2,863,25,1200,0,3,95000,1,1,49,2450,16,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Actuaries","15-2011 "
2,5327,35,1860,0,10,36000,1,8,45,1816,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Miscellaneous social scientists and related workers","19-3090"
2,1491,38,1050,0,6,140000,1,2,46,1824,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Computer support specialists","15-1150  "
2,2970,35,300,0,10,110000,1,3,49,1960,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Architectural and engineering managers","11-9041"
2,982,45,1550,38.25,18,87000,1,1,48,1978,14,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Engineering technicians, except drafters","17-3020 "
2,4384,31,1006,0,8,68000,1,2,50,2133,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Computer systems analysts","15-1121 "
2,5164,34,1460,0,3,77000,1,6,50,2016,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Mechanical engineers","17-2141 "
2,6974,23,1860,0,0,8000,1,0,17,336,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Miscellaneous social scientists and related workers","19-3090"
2,4468,57,1430,0,26,160000,1,2,50,2100,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Industrial engineers, including health and safety","17-2110 "
2,84,57,1540,0,0,63243,1,25,40,1800,14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Drafters","17-3010 "
2,2635,36,300,0,10,131270,1,4,49,2050,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Architectural and engineering managers","11-9041"
2,324,25,1950,0,4,24000,1,0,50,1750,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Social science research assistants","19-4061"
2,2362,46,110,0,16,128000,1,3,48,2400,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Computer and information systems managers","11-3021"
2,3254,43,110,0,20,130000,1,0,52,2340,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Computer and information systems managers","11-3021"
2,3028,43,1010,0,8,72500,1,22,48,1920,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Computer programmers","15-1131 "
2,4872,36,1050,0,3,80000,1,1,49,1960,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Computer support specialists","15-1150  "
2,870,41,1965,37.5,18,96000,1,0,48,2256,14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Miscellaneous life, physical, and social science technicians","19-4090"
2,1561,30,1740,0,1,64000,1,1,50,2141,17,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Environmental scientists and geoscientists","19-2040 "
