ER72001,ER72002,ER72017,ER72018,ER72195,ER72217,ER72231,ER73069,ER76897,ER76962,ER77249,ER77255,ER77588,ER77591,ER77599
1,4574,61,2,9999,0,0,0,1,11,0,0,15128,3,11
1,8597,59,2,4110,3,5,60000,1,30,41,1652,30620,3,12
1,6314,45,2,0,0,0,0,1,0,0,0,6084,3,12
1,7898,43,1,6240,0,7,10000,1,13,52,1548,15773.49,2,10
1,7781,29,2,4760,0,0,26000,1,0,44,2180,44140.39,3,12
1,4983,28,1,6230,0,6,9999998,1,9,41,2460,11620,2,12
1,4681,37,1,6230,0,0,35000,1,12,52,2080,57540,3,12
1,5671,35,1,1550,25,2,40000,1,11,52,2600,54806,3,14
1,6506,26,1,8140,15.5,0,30000,1,8,47,1936,23554.82,3,12
1,8968,66,1,1010,0,3,92000,1,46,51,2040,65714,3,16
1,6228,73,2,0,0,0,0,1,10,0,0,21324,3,10
1,9326,57,1,4700,22,28,43000,1,5,48,1908,46480,3,12
1,5234,52,1,0,0,0,0,1,16,0,0,51001,3,10
1,6282,24,1,8450,0,0,15000,1,0,15,605,36910,3,12
1,5026,63,1,9130,15.84,24,41000,1,38,52,3328,39007.13,3,10
1,9491,42,1,8140,30,11,50000,1,19,52,2600,58114,3,12
1,6444,64,1,430,0,28,9999998,1,4,50,3750,65590,2,17
1,8441,38,1,9030,168,1,77000,1,6,52,2340,72730,3,17
1,8878,37,1,9030,115,2,170000,1,14,51,3084,96826.4,3,17
1,5801,34,1,3250,0,3,140000,1,0,50,2016,82700,2,17
1,4882,74,1,0,0,0,0,1,20,0,0,45467,2,11
1,4054,64,1,0,0,0,0,1,99,0,0,14184,2,12
1,4037,63,2,0,0,0,0,1,0,0,0,16455.28,2,9
1,4127,44,2,3600,18,5,25000,1,15,52,2080,27983.1,2,11
1,3985,42,1,0,0,0,0,1,1,0,0,11328,2,10
1,4093,38,2,4050,9.35,2,7000,1,2,52,2120,34624,2,12
1,4136,38,1,9130,0,3,72000,1,99,51,3060,53336,2,11
1,4045,35,1,9130,0,0,30000,1,0,52,2080,41510,2,12
1,4355,31,1,7750,17.25,3,45000,1,0,50,2877,29644,2,12
1,4231,29,1,7750,16,0,45000,1,11,51,3584,24420,2,12
1,4308,28,1,7210,0,11,65000,1,0,51,3060,47300,2,14
1,3992,27,1,9620,12.75,4,28000,1,2,51,2570,34708,2,10
1,4048,26,1,0,0,0,0,1,99,0,0,14455.47,2,9
1,4198,22,2,3600,10.25,2,16000,1,0,50,1750,25636,2,12
1,4077,20,2,0,0,0,0,1,0,0,0,17333.28,2,11
1,4044,49,1,7330,998,3,7200,1,99,52,1560,19662,2,7
1,3893,30,1,9130,0,0,150000,1,2,52,3640,62493.54,2,12
1,4092,58,1,0,0,0,0,1,0,0,0,19532,2,12
1,4016,26,1,8000,18.56,6,40000,1,1,50,2000,44080,2,12
1,4454,24,1,8800,14.55,4,60000,1,2,51,3556,24016,2,12
1,4131,26,1,7730,20,3,60000,1,1,51,2550,44716,2,12
1,4290,31,1,9360,8.75,0,5000,1,13,49,988,22857.6,2,12
1,2935,75,2,0,0,0,0,2,30,0,0,27170,3,15
1,3135,55,2,2340,15,1,30000,2,9,52,1560,11006.39,3,14
1,2994,53,1,4610,0,0,2200,2,8,5,200,8762.78,3,14
1,3145,72,1,0,0,0,0,2,37,0,0,39324,3,14
1,3172,31,2,4020,12.32,2,20000,2,4,52,2080,43320,3,15
1,3101,26,1,0,0,0,0,2,2,0,0,22400,3,12
1,2922,52,1,20,0,10,48000,2,99,48,2517,77196,3,16
1,3136,28,1,8310,17,0,32886,2,5,52,2080,34492.6,3,10
1,649,66,1,0,0,0,0,1,14,0,0,42854.13,4,14
1,1903,68,2,0,0,0,0,1,0,0,0,33814.57,5,15
1,1634,70,1,0,0,0,0,1,19,0,0,62099,5,14
1,2491,39,1,8640,50,2,150000,1,19,49,2075,101460,5,16
1,1536,55,1,0,0,0,0,1,3,0,0,38236,4,11
1,2738,34,1,7700,26.43,6,58000,1,6,49,2107,38570,4,14
1,1484,26,1,2100,0,0,80000,1,2,38,1520,41610,3,17
1,1937,24,2,4600,15,0,7000,7,1,7,35,35540,2,17
1,1611,57,1,0,0,0,0,3,6,0,0,39694,4,17
1,2897,36,1,7240,17,13,28800,1,17,52,2064,29740,4,12
1,8951,81,2,0,0,0,0,1,27,0,0,8531.05,4,13
1,8879,56,1,4220,0,0,3396,1,27,32,127,39706.17,4,13
1,8942,45,1,9130,0,0,30000,1,20,52,3120,38596,4,17
1,8354,29,1,4250,0,0,5000,3,0,52,1040,15554.19,4,12
1,4578,39,1,7900,16.32,6,36000,1,3,52,2080,37285,3,14
1,5180,62,1,9130,23.54,3,63000,1,10,50,3000,49315,4,12
1,5937,65,1,220,0,0,0,1,13,52,2080,66260,4,12
1,5345,66,1,6120,18.78,18,24369,1,2,49,1960,39952.92,4,12
1,5638,72,1,0,0,0,0,1,10,0,0,68475,4,13
1,4822,46,2,5550,25,11,80000,1,15,51,2090,105650,1,99
1,9518,45,1,6230,35,0,50000,1,25,52,3120,92920,4,12
1,6041,38,2,0,0,0,0,9,99,0,0,29120,4,12
1,8839,44,2,3500,999,1,5000,1,4,13,314,52309.76,4,15
1,6392,40,1,3820,30,11,135000,1,12,52,4545,85160,3,14
1,5748,67,1,6130,0,0,0,1,15,0,0,30443,4,12
1,9381,37,2,2300,10.25,3,28000,1,12,34,2130,13920,4,13
1,6714,37,2,5120,12.75,0,25265,1,7,52,1882,8270,4,15
1,4247,62,2,2540,19,25,29000,2,28,43,1602,43660.42,3,13
1,4039,54,1,6360,42,15,56000,2,3,25,1375,19754.69,3,12
1,3989,53,2,4810,27,33,57000,2,9,48,1908,54859.82,3,14
1,4137,27,1,910,17,3,58000,2,0,43,2598,52720,3,14
1,8235,69,2,4610,28,0,15000,1,9,52,1560,63869,4,16
1,6758,48,1,0,0,0,0,1,0,0,0,66440,4,13
1,2517,72,1,0,0,0,0,1,28,0,0,46374,2,16
1,1123,73,1,2040,0,8,5800,1,30,52,260,48700,2,16
1,5097,73,1,430,0,0,9999999,1,20,48,2400,23480,2,16
1,4644,51,2,8330,0,0,0,1,14,51,1530,10349.54,2,12
1,8252,18,1,1030,20,2,15000,4,0,52,780,24881.87,4,12
1,4749,47,1,710,0,18,896000,4,0,52,4160,150013.52,2,16
1,7520,49,2,3600,17.35,1,30000,4,27,29,1272,55176,4,16
1,5804,85,2,0,0,0,0,1,50,0,0,24316,2,12
1,9193,59,1,7210,32,38,70000,1,5,37,1480,44540,2,12
1,5965,57,2,0,0,0,0,1,99,0,0,7800,2,5
1,7694,56,2,9810,0,0,110000,1,6,29,1168,154906,2,17
1,6801,37,2,0,0,0,0,1,4,0,0,10668.18,2,8
1,8299,36,1,1020,0,1,78000,1,2,50,2000,48044,2,17
1,9515,33,1,7700,22.98,7,60000,1,7,51,2448,44910,2,10
1,9043,33,1,2330,0,8,55000,1,1,51,2056,51244.41,2,17
1,8277,49,1,1020,0,9,100000,1,17,52,2080,73804,1,12
1,6018,41,1,9130,0,0,46000,1,6,49,2450,48336,2,12
1,7823,56,1,7900,24.8,8,63000,1,32,51,2286,44501.55,2,13
